runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.diagnosticSnapshotId,attr.eventKind,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.state
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",1,RUN_STARTED,info,content,"=""1784165394897""","=""2026-07-16 10:29:54.897""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",2,STATE_CHANGED,trace,content,"=""1784165394902""","=""2026-07-16 10:29:54.902""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,CONFIGURED
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",3,STATE_CHANGED,trace,content,"=""1784165394902""","=""2026-07-16 10:29:54.902""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,VALIDATING
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",4,STATE_CHANGED,trace,content,"=""1784165394903""","=""2026-07-16 10:29:54.903""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,SYNCING_CLOCK
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",5,CLOCK_SYNCED,trace,content,"=""1784165394958""","=""2026-07-16 10:29:54.958""","=""1784165395527.5""","=""2026-07-16 10:29:55.527""",,서버 시계 보정을 완료했습니다.,,,,-1,0,LOW,1,54.400000005960464,54.400000005960464,1784165325837.4,1784165325310.2,569,1784165326364.6,54.400000005960464,bootstrap,1,APP_HEAD_HTTP_DATE,527.2000732421875,,metric,,,,,,,,,,
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",6,STATE_CHANGED,trace,content,"=""1784165394959""","=""2026-07-16 10:29:54.959""","=""1784165395528""","=""2026-07-16 10:29:55.528""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,ENTERING_RESERVATION
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",7,ACTION_PERFORMED,trace,content,"=""1784165394977""","=""2026-07-16 10:29:54.977""","=""1784165395545.7""","=""2026-07-16 10:29:55.545""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",8,STATE_CHANGED,trace,content,"=""1784165395151""","=""2026-07-16 10:29:55.151""","=""1784165395692.75""","=""2026-07-16 10:29:55.692""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,SELECTING_DATE
run-8b87f277-e782-4353-a925-7e1b05bc133f,0.2.0,"=""1784165394891""","=""2026-07-16 10:29:54.891""","=""1784165405608""","=""2026-07-16 10:30:05.608""",HANDED_OFF,9,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-20"",""personCount"":2,""timeRange"":{""startMinutes"":300,""endMinutes"":1260},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":300,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",9,RUN_TERMINATED,trace,content,"=""1784165405608""","=""2026-07-16 10:30:05.608""","=""1784165405844.55""","=""2026-07-16 10:30:05.844""",HANDED_OFF,목표 월 또는 날짜 선택 상태를 제한 시간 안에 확인할 수 없습니다.,,,,,,,,,,,,,,,,,,,d62fcaa0-fe0c-4991-aeda-e9cdc9490197,state,오늘 | 2026년8월 | 닫기,,,0,ss-cda9ae0a,,SELECTING_DATE,오늘2026년8월일월화수목금토28 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16오늘17마감18마감19마감20 21 22 23 24 25마감26마감27 28 29 30 31 1마감2마감3 4 5 6 7 8마감일월화수목금토26마감27 28 29 30 31 ,shop,HANDED_OFF
