runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.diagnosticSnapshotId,attr.eventKind,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.state
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",1,RUN_STARTED,info,content,"=""1784165325820""","=""2026-07-16 10:28:45.820""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",2,STATE_CHANGED,trace,content,"=""1784165325821""","=""2026-07-16 10:28:45.821""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,CONFIGURED
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",3,STATE_CHANGED,trace,content,"=""1784165325822""","=""2026-07-16 10:28:45.822""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,VALIDATING
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",4,STATE_CHANGED,trace,content,"=""1784165325823""","=""2026-07-16 10:28:45.823""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,SYNCING_CLOCK
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",5,CLOCK_SYNCED,trace,content,"=""1784165325931""","=""2026-07-16 10:28:45.931""","=""1784165326555.05""","=""2026-07-16 10:28:46.555""",,서버 시계 보정을 완료했습니다.,,,,-1,0,LOW,1,105.70000000298023,105.70000000298023,1784165325837.35,1784165325284.5,624,1784165326390.2,105.70000000298023,bootstrap,1,APP_HEAD_HTTP_DATE,552.8499755859375,,metric,,,,,,,,,,
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",6,STATE_CHANGED,trace,content,"=""1784165325932""","=""2026-07-16 10:28:45.932""","=""1784165326556.05""","=""2026-07-16 10:28:46.556""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,ENTERING_RESERVATION
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",7,ACTION_PERFORMED,trace,content,"=""1784165331554""","=""2026-07-16 10:28:51.554""","=""1784165332145.05""","=""2026-07-16 10:28:52.145""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,
run-18dd8f4a-612b-49c5-aa3c-eb4fb33d9309,0.2.0,"=""1784165325818""","=""2026-07-16 10:28:45.818""","=""1784165331623""","=""2026-07-16 10:28:51.623""",HANDED_OFF,8,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-22"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1200,""startMinutes"":960},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",8,RUN_TERMINATED,trace,content,"=""1784165331623""","=""2026-07-16 10:28:51.623""","=""1784165332213.95""","=""2026-07-16 10:28:52.213""",HANDED_OFF,예약하기 클릭 후 달력 화면을 확인할 수 없습니다.,,,,,,,,,,,,,,,,,,,26e55b0f-e08f-4e06-a26d-c7f07b4c3bdd,state,의심되는 리뷰를 찾았다면?신뢰에 영향을 주는 리뷰 · 매장을 제보해주세요. | 잘못된 정보가 있나요?수정이 필요하거나 폐점한 매장이라면 알려주세요!,,,0,ss-d91d97af,,ENTERING_RESERVATION,,shop,HANDED_OFF
